anyway,とにかく
following,〜に続いて、次の、以下の
refer,参照する、言及する、紹介する
available,入手できる、利用できる、購入できる、手が空いている
department,部門、売り場
conference,会議
according,〜によると、〜にしたがって
likely,おそらく、〜しそうだ
offer,申し出る、提供する、申し出、オファー
equipment,機器、装備
provide,提供する
local,地元の、地元の人
purchase,購入する、購入品
opening,空き、開店
construction,建設
tour,見学する、旅行する、見学、旅行
research,研究、調査、研究する、調査する
attend,出席する、参加する
delivery,配達（物）
recently,最近
indicate,示す
employee,社員、従業員
additional,追加の
survey,アンケート調査(を行う)
review,検討(する)、論評(する)
production,生産、作品
located,位置して
detail,詳細、詳しく述べる
announce,発表する
repair,修理(する)
increase,増加、増える、増やす
include,含む
currently,現在
advertising,広告(業)、宣伝(活動)
charge,請求する、料金、責任
expect,予期する、予定する
firm,会社
client,顧客、クライアント
financial,お金の、財務の、金融の
annual,年に1度の、毎年恒例の、年間の
payment,支払い
budget,予算(に計上する)
application,応募書類、応募、申請
contract,契約(書)
management,経営(陣)、管理
performance,業績、仕事ぶり、性能、公演
pleased,喜んで、満足して
confirm,確認する
award,賞、授与する
clothing,衣類
display,展示(する)
candidate,候補者
state,述べる
exhibit,展示物、展示会、展示する
session,時間、集まり
note,注意する、述べる、メモ
process,処理する、プロセス、過程、処理
instruction,説明書、説明、指示
membership,会員(であること)、会員資格、会員数
agency,代理店、機関
based,拠点のある
facility,施設
advanced,先行した、事前の、進歩、前進
committee,委員会
successful,成功した、うまく行く
excellent,素晴らしい
industry,産業、業界
fee,料金
accept,受け入れる
upcoming,今度の
latest,最新の
submit,提出する
transportation,輸送手段
resume,履歴書
executive,重役、重役(用)の、高級な
introduce,導入する、紹介する
previous,前の、以前の
proposal,提案、提案書
supply,必需品、供給する
enclose,同封する、囲む
policy,規定、方針
register,登録する、レジ
arrange,手配する、並べる
bill,請求書(を送る)
hire,雇う
approve,承認する、賛成する
conduct,実行する、実施する
opportunity,機械、チャンス
deadline,締切、期限
corporate,企業の、法人の
warranty,保証(書)
necessary,必要な
reserve,予約する、確保する、蓄え
resident,住民、住人
create,創造する、作り出す
inform,知らせる、影響を与える
allow,許す、可能にする
mention,述べる、言及(する)
appreciate,感謝する
replacement,交換(品)、後任
