update,最新情報、更新する
branch,支店、
paid,有給の、支払い済みの
unfortunately,残念なことに、残念ながら
original,元の、最初の、オリジナル、原本
rent,家賃、賃貸借する
memo,社内文書
luggage,旅行かばん、手荷物
editor,編集者
exhibition,展示会、展示物、展示
leading,首位の、一流の
organization,団体、会社、組織
release,発売する、公表する、発売
limited,限られた
procedure,手続き、手順
experienced,経験豊富な
personnel,社員、人事部
author,著者、作者、(本を)書く
benefit,特典、福利厚生、〜のためになる
focus,〜に集中させる、重点を置く、焦点、集中
participate,参加する
cause,原因、大義、引き起こす
degree,学位、程度、度
directly,直接
host,司会者、主催する
expert,専門家、専門的な
impress,感心させる、好印象を与える
mainly,主に
suggestion,提案
supplier,納入業者、供給業者
document,書類、(文章や映像等で)記録する
remind,再確認する、念押しする
require,求める、要求する
representative,担当者、代表者
packaging,梱包、パッケージ
description,説明、記述、描写
property,不動産、資産
extension,内線、延長
inquire,尋ねる、問い合わせる
merchandise,商品
highly,非常に
result,生じる、終わる、結果
assistance,支援、援助
encourage,奨励する、促す
individual,個人、個人の、個別の
laboratory,研究所、実験室
consider,考える、検討する
headquarters,本社
ship,出荷する、船
commercial,商業(用)の、商業的な、CM
device,機器、装置
intended,意図された、向けられた
brochure,パンフレット
mail,郵便物、郵便配達、郵送する
prefer,〜を(...よりも)好む
response,返答、返事
region,地域
donation,寄付
quarter,四半期
agreement,契約(書)、同意(書)、合意
journal,専門誌
distribute,配布する、流通させる
potential,見込みがある、潜在的な、可能性
reschedule,スケジュール変更をする
renew,更新する
warehouse,倉庫
refund,返金(する)
advise,勧める、忠告する、助言する
immediately,すぐに、即座に
council,議長
broadcast,放送(する)
responsible,担当している、責任がある
avoid,避ける
effective,効果的な
invitation,招待(状)
reduce,(値段を)下げる、減らす
vehicle,乗り物、車両
efficient,効率的な
manufacturer,メーカー、製造業者
comfortable,快適な、楽な、自信がある
correct,正確な、正しい、修正する
downtown,中心街(の/で)
method,方法
entire,全体の
range,範囲
setting,環境
apologize,おわびする
frequent,頻繁な
promotion,昇進、販売促進
regarding,〜に関する
temporary,一時的な、臨時の
traditional,伝統的な、従来の
admission,入場、入場料、入場許可
fit,合う、入る
reference,照会(先)、参照
status,状況、地位
fuel,燃料
nearly,ほとんど、もう少しで
cafeteria,社員食堂
determine,決定する、判断する、決心する
